,Country,EdLevel,YearsCodePro,ConvertedCompYearly
133,Canada,No bachelors,34,181515
134,Sweden,Bachelors,26,81000
135,United States of America,No bachelors,22,105000
136,Germany,No bachelors,5,56211
137,United Kingdom,No bachelors,7,64630
138,Turkey,Bachelors,3,35508
139,Germany,No bachelors,11,64859
140,United States of America,No bachelors,10,110000
141,United States of America,Bachelors,15,120000
142,Other,Bachelors,6,32604
143,Germany,No bachelors,6,48644
144,Poland,No bachelors,11,54672
145,Netherlands,No bachelors,4,35676
146,Canada,Bachelors,4,75631
147,United States of America,No bachelors,39,70000
148,Germany,No bachelors,9,58373
149,Other,Bachelors,3,25944
150,United States of America,No bachelors,4,58000
151,Germany,Bachelors,6,61616
152,France,Post-grad,13,59454
153,Sweden,Post-grad,3,55224
154,Canada,No bachelors,6,68068
155,United States of America,Bachelors,4,74000
156,India,Bachelors,5,217800
157,Netherlands,Post-grad,14,118908
158,United States of America,No bachelors,1,40000
159,Canada,Bachelors,8,71850
160,Canada,Bachelors,14,66934
161,Other,No bachelors,3,54216
162,Other,Bachelors,1,19860
163,United States of America,No bachelors,7,63385
164,Switzerland,No bachelors,1,54888
165,United States of America,No bachelors,20,108000
166,Germany,No bachelors,7,58373
167,Russia,No bachelors,20,56616
168,Other,Post-grad,9,45401
169,United Kingdom,No bachelors,24,55582
170,United Kingdom,Bachelors,27,71093
171,United Kingdom,No bachelors,21,60752
172,Other,No bachelors,4,25944
173,Other,Bachelors,16,179858
174,Poland,No bachelors,20,30372
175,Other,No bachelors,6,29832
176,Other,Bachelors,6,40020
177,United States of America,Post-grad,6,90000
178,United States of America,Bachelors,3,67000
179,India,Bachelors,4,21676
180,Switzerland,No bachelors,16,101649
181,Other,No bachelors,4,17352
182,United States of America,No bachelors,16,195000
183,Other,No bachelors,7,34380
184,United Kingdom,Post-grad,23,155111
185,Other,No bachelors,4,64860
186,France,Bachelors,12,123228
187,Russia,No bachelors,1,28308
188,Italy,Bachelors,12,17508
189,France,No bachelors,3,48644
190,Sweden,Bachelors,5,54769
191,Poland,Bachelors,5,45564
192,Other,Bachelors,7,25428
193,United States of America,No bachelors,12,29000
194,United States of America,No bachelors,6,170000
195,Turkey,Bachelors,3,19728
196,Other,Bachelors,4,24132
197,Other,No bachelors,6,54804
198,United States of America,Bachelors,4,70000
199,Other,Bachelors,8,42432
200,United States of America,No bachelors,2,40000
201,Netherlands,Bachelors,4,40212
202,Canada,No bachelors,7,90758
203,Other,Bachelors,4,15408
204,United Kingdom,No bachelors,6,54224
205,Switzerland,No bachelors,7,81319
206,United States of America,Bachelors,4,85000
207,Germany,Bachelors,1,64859
208,Netherlands,No bachelors,30,62268
209,Canada,No bachelors,5,31750
210,United States of America,No bachelors,2,100000
211,United States of America,Bachelors,3,92000
212,Spain,Bachelors,4,34591
213,Switzerland,No bachelors,10,92500
214,United States of America,No bachelors,12,135000
215,United Kingdom,Bachelors,5,71093
216,Other,Bachelors,5,42756
217,United States of America,Bachelors,4,150000
218,United States of America,Bachelors,19,65000
219,Spain,Post-grad,20,64859
220,Other,Bachelors,15,48644
221,India,No bachelors,10,16416
222,Italy,Bachelors,3,35672
223,Other,No bachelors,7,64860
224,Germany,Bachelors,3,59454
225,France,No bachelors,9,45396
226,Other,Bachelors,2,22212
227,Other,Bachelors,11,60000
228,United States of America,Post-grad,35,110000
229,Other,Bachelors,9,53832
230,Turkey,No bachelors,2,18080
231,Germany,Bachelors,3,31128
232,Brazil,Bachelors,12,96204
233,France,No bachelors,6,88640
234,Spain,No bachelors,2,20539
235,United States of America,No bachelors,21,190000
236,United Kingdom,Post-grad,10,49765
237,France,No bachelors,10,48644
238,United States of America,Bachelors,8,57765
239,United States of America,Bachelors,3,40000
240,United States of America,No bachelors,2,37440
241,Canada,Bachelors,9,83194
242,Switzerland,Bachelors,13,111814
243,United States of America,No bachelors,4,133000
244,Germany,No bachelors,13,69183
245,Norway,Bachelors,6,64737
246,Italy,No bachelors,8,47563
247,Netherlands,Bachelors,12,118908
248,France,No bachelors,6,69183
249,India,Bachelors,8,29320
250,Other,Bachelors,8,70264
251,United States of America,No bachelors,5,150000
252,Other,Bachelors,21,51888
253,France,No bachelors,7,64859
254,Italy,No bachelors,17,59454
255,France,No bachelors,5,36753
256,United States of America,Bachelors,19,125000
257,United Kingdom,Bachelors,10,63854
258,India,No bachelors,10,123984
259,Other,No bachelors,10,25944
260,Netherlands,No bachelors,4,46482
261,Italy,No bachelors,3,35672
262,Other,Bachelors,5,27144
263,Germany,Bachelors,7,86478
264,India,Bachelors,7,134028
265,United States of America,Bachelors,25,98000
266,Germany,No bachelors,18,54049
267,United States of America,Bachelors,3,73500
268,Netherlands,No bachelors,7,56211
269,Poland,No bachelors,6,60744
270,France,Bachelors,25,183767
271,India,Bachelors,2,25128
272,Other,Bachelors,10,49725
273,Germany,No bachelors,4,36324
274,United States of America,Bachelors,1,82000
275,United States of America,Post-grad,10,105000
276,Other,No bachelors,15,59454
277,United Kingdom,No bachelors,2,28437
278,Poland,No bachelors,3,41004
279,Germany,Bachelors,5,101612
280,United States of America,Bachelors,9,135000
281,India,Bachelors,7,31332
282,Netherlands,Bachelors,6,50806
283,France,No bachelors,3,41077
284,France,No bachelors,5,45401
285,United States of America,Bachelors,8,200000
286,India,No bachelors,3,40489
287,United States of America,No bachelors,10,58000
288,Other,Bachelors,1,12828
289,United Kingdom,No bachelors,3,48472
290,Other,No bachelors,5,27528
291,United Kingdom,No bachelors,0.5,19389
292,Germany,Bachelors,7,43239
293,Spain,No bachelors,8,16215
294,Germany,Post-grad,7,51888
295,Spain,Bachelors,30,45396
296,Italy,Post-grad,6,33095
297,United States of America,Bachelors,2,70000
298,Netherlands,No bachelors,9,57072
299,United States of America,Bachelors,20,130000
300,Other,Bachelors,2,22512
301,Brazil,Bachelors,4,22536
302,Other,Bachelors,8,32424
303,Germany,No bachelors,14,56208
304,United States of America,Bachelors,33,175000
305,Other,No bachelors,3,42156
306,Israel,Bachelors,8,91056
307,Canada,No bachelors,25,68068
308,United Kingdom,No bachelors,4,49119
309,United States of America,No bachelors,4,55702
310,Turkey,No bachelors,2,11832
311,France,No bachelors,5,39131
312,Other,No bachelors,8,46644
313,United States of America,Bachelors,4,72000
314,United States of America,No bachelors,20,110000
315,Italy,No bachelors,12,45401
316,United States of America,Bachelors,13,155000
317,Germany,No bachelors,14,75885
318,United States of America,No bachelors,7,125000
319,United States of America,Bachelors,35,70000
320,Other,No bachelors,9,30000
321,United States of America,No bachelors,4,105000
322,Sweden,No bachelors,24,68724
323,Brazil,No bachelors,4,10992
324,Sweden,Bachelors,3,40500
325,Other,No bachelors,1,19152
326,Other,Bachelors,1,12828
327,Germany,No bachelors,10,77832
328,United States of America,No bachelors,25,156000
329,Israel,Bachelors,20,155844
330,Canada,Bachelors,5,77900
331,Poland,No bachelors,2,27844
332,Switzerland,Bachelors,15,126083
333,United Kingdom,No bachelors,6,51704
334,France,No bachelors,16,50806
335,Turkey,Bachelors,4,38400
336,Other,Post-grad,12,103776
337,United States of America,Bachelors,9,230000
338,Germany,No bachelors,4,45401
339,United States of America,Bachelors,15,120000
340,United States of America,Bachelors,8,66500
341,Other,Bachelors,5,31224
342,Other,Bachelors,5,49296
343,United States of America,Bachelors,7,125000
344,France,No bachelors,6,46482
345,India,Bachelors,10,29320
346,United Kingdom,No bachelors,22,116333
347,France,No bachelors,3,54049
348,Germany,No bachelors,12,54049
349,Italy,No bachelors,6,32429
350,Italy,No bachelors,5,27240
351,United Kingdom,Post-grad,1,71093
352,Other,Bachelors,2,14256
353,Italy,No bachelors,3,32429
354,United States of America,Bachelors,25,160000
355,Italy,No bachelors,6,27025
356,Canada,Bachelors,1,49160
357,United States of America,Bachelors,3,64000
358,Other,No bachelors,9,57156
359,Other,Bachelors,10,39564
360,United Kingdom,Bachelors,8,50411
361,Germany,No bachelors,4,54049
362,United States of America,Post-grad,7,135000
363,Poland,Bachelors,14,105300
364,Other,No bachelors,0.5,13332
365,France,No bachelors,4,46482
366,Brazil,Bachelors,4,17868
367,Other,No bachelors,2,25944
368,United Kingdom,No bachelors,2,74970
369,Canada,Bachelors,3,52942
370,Other,No bachelors,2,40212
371,United States of America,Bachelors,3,85000
372,Other,Bachelors,2,45401
373,India,Bachelors,1,20943
374,United States of America,Bachelors,15,120000
375,Brazil,No bachelors,15,41232
376,United States of America,No bachelors,11,155000
377,Sweden,No bachelors,6,53388
378,Germany,Bachelors,2,54049
379,Netherlands,Post-grad,24,57720
380,Germany,No bachelors,7,54480
381,France,No bachelors,6,34584
382,Russia,No bachelors,15,36804
383,Germany,Bachelors,11,51887
384,Other,Bachelors,4,32676
385,India,No bachelors,2,10728
386,Other,Bachelors,0.5,34428
387,Italy,No bachelors,21,81074
388,United States of America,Bachelors,5,115000
389,Canada,Bachelors,5,55211
390,Other,No bachelors,3,30216
391,Other,No bachelors,2,19452
392,United States of America,Bachelors,10,200000
393,United States of America,Bachelors,10,142000
394,United States of America,No bachelors,8,125000
395,United Kingdom,No bachelors,3,84019
396,Other,Bachelors,15,60972
397,Germany,No bachelors,5,31128
398,Germany,No bachelors,0.5,51888
399,Other,Bachelors,19,51960
400,India,Bachelors,5,16475
401,Germany,Bachelors,2,41040
402,United States of America,No bachelors,12,175000
403,Other,No bachelors,7,49941
404,India,No bachelors,7,18848
405,Germany,No bachelors,6,84312
406,Germany,No bachelors,7,81074
407,Germany,No bachelors,10,68102
408,Other,Bachelors,5,17796
409,United States of America,Bachelors,12,126000
410,Turkey,No bachelors,10,28320
411,Netherlands,Bachelors,2,35676
412,India,Bachelors,7,21641
413,United States of America,No bachelors,18,175000
414,Israel,No bachelors,10,175112
415,Other,No bachelors,15,41568
416,United States of America,Bachelors,9,190000
417,Other,Bachelors,6,33552
418,France,No bachelors,3,81074
419,Netherlands,Bachelors,4,38916
420,United States of America,Bachelors,37,220000
421,France,No bachelors,2,45401
422,India,No bachelors,6,12564
423,Russia,No bachelors,8,45300
424,United States of America,No bachelors,30,153000
425,United Kingdom,No bachelors,4,51704
426,United States of America,No bachelors,4,75000
427,India,Bachelors,2,11169
428,India,Bachelors,4,30716
429,Germany,Bachelors,25,81074
430,Other,No bachelors,10,54000
431,Other,No bachelors,19,71340
432,United States of America,No bachelors,20,215000
433,India,No bachelors,10,13962
434,Other,No bachelors,35,97288
435,France,No bachelors,4,48644
436,Netherlands,No bachelors,3,51888
437,India,No bachelors,6,64224
438,Germany,Bachelors,12,56211
439,Canada,No bachelors,15,75631
440,Other,No bachelors,5,36024
441,Italy,No bachelors,6,55130
442,France,No bachelors,3,37834
443,Canada,Bachelors,10,68068
444,United States of America,No bachelors,10,200000
445,Netherlands,Bachelors,7,36972
446,United States of America,Bachelors,15,203000
447,Norway,No bachelors,20,61608
448,Russia,Bachelors,5,41000
449,Germany,No bachelors,20,79993
450,United States of America,Bachelors,5,100000
451,United States of America,Bachelors,5,80325
452,Other,Bachelors,12,71446
453,Spain,No bachelors,20,58373
454,Other,Bachelors,8,47184
455,Germany,Bachelors,13,18984
456,Germany,Bachelors,23,64859
457,Other,Bachelors,4,28536
458,United States of America,Bachelors,3,82750
459,Netherlands,No bachelors,1,23352
460,United Kingdom,No bachelors,5,71093
461,Germany,No bachelors,7,88208
462,United Kingdom,No bachelors,6,46533
463,Netherlands,Bachelors,11,59544
464,United Kingdom,No bachelors,3,33600
465,France,No bachelors,7,39456
466,Other,No bachelors,10,16860
467,Israel,No bachelors,8,175116
468,Poland,No bachelors,13,33408
469,United States of America,Bachelors,8,110000
470,United States of America,No bachelors,5,200000
471,United States of America,No bachelors,4,144000
472,France,Post-grad,0.5,24000
473,Germany,No bachelors,7,91883
474,United States of America,No bachelors,43,83000
475,United States of America,Bachelors,3,75636
476,Russia,Bachelors,5,16980
477,United States of America,Bachelors,1,100000
478,Russia,No bachelors,30,37752
479,United Kingdom,No bachelors,15,103408
480,Other,No bachelors,8,82848
481,India,Bachelors,5,13962
482,Other,Bachelors,3,29088
483,Poland,Bachelors,4,55200
484,Other,No bachelors,12,21204
485,United States of America,Bachelors,40,200000
486,Other,Bachelors,6,22308
487,France,Post-grad,29,83236
488,Other,Bachelors,10,55944
489,United Kingdom,Bachelors,9,87896
490,United States of America,Bachelors,6,80000
491,Italy,Bachelors,15,38916
492,Germany,No bachelors,15,175119
493,United Kingdom,No bachelors,30,193889
494,Other,No bachelors,4,27240
495,Other,No bachelors,13,33852
496,Other,No bachelors,5,36000
497,United States of America,No bachelors,4,166000
498,France,No bachelors,13,64859
499,United States of America,Bachelors,13,220000
500,United Kingdom,No bachelors,20,89189
501,Germany,Bachelors,5,51887
502,Other,No bachelors,11,39144
503,Canada,Bachelors,16,52942
504,United States of America,Bachelors,21,90000
505,United Kingdom,Bachelors,12,82726
506,Switzerland,No bachelors,6,80008
507,United States of America,Bachelors,1,65000
508,Other,Bachelors,4,22584
509,Italy,Post-grad,38,51888
510,United States of America,No bachelors,7,160000
511,France,No bachelors,11,75669
512,France,No bachelors,3,48644
513,Germany,Bachelors,11,81074
514,Other,No bachelors,16,56211
515,United States of America,No bachelors,8,200000
516,Other,No bachelors,0.5,12972
517,Canada,Bachelors,2,66556
518,Other,Post-grad,10,41796
519,United States of America,Bachelors,25,120000
520,Other,No bachelors,3,33732
521,Other,Bachelors,38,36000
522,India,Bachelors,6,20940
523,Germany,Bachelors,6,86478
524,United States of America,Post-grad,25,160000
525,Israel,No bachelors,3,45528
526,Turkey,No bachelors,26,63120
527,Germany,No bachelors,23,58373
528,Other,Bachelors,0.5,12324
529,United States of America,Bachelors,16,105000
530,United States of America,Bachelors,7,83200
531,United States of America,Bachelors,4,81000
532,Other,No bachelors,19,64860
533,United States of America,No bachelors,8,106000
534,United States of America,Bachelors,7,125000
535,Other,No bachelors,7,70000
536,Other,Bachelors,8,32028
537,Italy,No bachelors,19,19458
538,United Kingdom,Post-grad,15,51704
539,Germany,Bachelors,7,60427
540,United States of America,Bachelors,31,250000
541,United States of America,No bachelors,15,200000
542,Canada,No bachelors,3,60505
543,Brazil,Bachelors,3,18326
544,Germany,No bachelors,12,108098
545,Brazil,No bachelors,13,21996
546,Other,No bachelors,8,142501
547,United Kingdom,No bachelors,6,129259
548,Other,No bachelors,9,14400
549,United States of America,Post-grad,3,93000
550,United States of America,Bachelors,5,77250
551,Italy,No bachelors,8,64859
552,France,No bachelors,5,30916
553,United Kingdom,No bachelors,12,87638
554,India,Bachelors,3,26527
555,United Kingdom,No bachelors,4,20682
556,United States of America,No bachelors,10,129600
557,Germany,No bachelors,20,75669
558,United States of America,Bachelors,25,116000
559,United States of America,Bachelors,6,104000
560,United Kingdom,No bachelors,2,36193
561,Other,No bachelors,1,11400
562,Italy,No bachelors,3,16860
563,Spain,No bachelors,0.5,18160
564,France,No bachelors,21,68102
565,Germany,No bachelors,5,47563
566,United Kingdom,No bachelors,10,64630
567,Switzerland,No bachelors,2,69121
568,United Kingdom,No bachelors,4,118919
569,India,Bachelors,8,57240
570,Turkey,Bachelors,14,24972
571,India,Bachelors,10,30018
572,France,No bachelors,6,44320
573,United States of America,Bachelors,5,65000
574,Canada,No bachelors,20,60505
575,Netherlands,No bachelors,2,88640
576,United States of America,No bachelors,35,160000
577,Other,No bachelors,2,57312
578,United States of America,Bachelors,2,68000
579,United States of America,Bachelors,20,144000
580,United States of America,Bachelors,2,60000
581,India,Bachelors,2,15682
582,Germany,No bachelors,3,81074
583,United Kingdom,Bachelors,16,49119
584,France,Bachelors,10,33732
585,United States of America,Bachelors,7,66000
586,Other,Post-grad,15,14016
587,Israel,Bachelors,3,63036
588,Italy,No bachelors,3,25944
589,India,No bachelors,7,16080
590,United States of America,Bachelors,1,90000
591,India,No bachelors,10,111694
592,United States of America,Bachelors,1,65000
593,Other,No bachelors,7,32736
594,United States of America,Bachelors,26,150000
595,Germany,Bachelors,3,60972
596,India,Bachelors,11,23735
597,Germany,Post-grad,6,62481
598,Russia,No bachelors,8,24540
599,Canada,Bachelors,3,31400
600,United States of America,Bachelors,23,150000
601,France,No bachelors,18,51887
602,India,Bachelors,8,29320
603,United States of America,Bachelors,11,105000
604,India,No bachelors,9,44678
605,United Kingdom,Bachelors,12,134430
606,Netherlands,Bachelors,17,71340
607,Italy,Bachelors,16,41077
608,United States of America,No bachelors,3,70000
609,Netherlands,Bachelors,12,59454
610,Other,No bachelors,3,15672
611,Italy,No bachelors,26,45401
612,India,Bachelors,6,34904
613,United States of America,No bachelors,8,150000
614,United Kingdom,No bachelors,6,47826
615,United Kingdom,Bachelors,11,64630
616,United States of America,No bachelors,12,80000
617,Germany,Post-grad,16,84316
618,Netherlands,Bachelors,21,81074
619,Other,Bachelors,2,23400
620,Other,No bachelors,20,95000
621,Italy,No bachelors,9,57292
622,Brazil,No bachelors,4,16035
623,Germany,Bachelors,5,73507
624,Other,No bachelors,23,51372
625,Canada,No bachelors,4,55967
626,Other,No bachelors,13,59676
627,Other,No bachelors,5,40248
628,Germany,No bachelors,35,54070
629,Other,Bachelors,1,16284
630,United States of America,No bachelors,10,250000
631,Other,No bachelors,16,47532
632,United States of America,No bachelors,10,155000
633,Spain,No bachelors,4,32429
634,Other,Bachelors,8,29148
635,Brazil,No bachelors,12,30240
636,Other,Bachelors,7,15888
637,Poland,No bachelors,5,66828
638,Israel,Bachelors,0.5,98064
639,United Kingdom,Bachelors,11,118919
640,United States of America,No bachelors,5,140000
641,United States of America,Bachelors,5,120000
642,United States of America,Post-grad,14,130000
643,Other,No bachelors,11,54480
644,Other,No bachelors,15,89568
645,Spain,No bachelors,9,81074
646,United States of America,No bachelors,15,115000
647,United Kingdom,No bachelors,0.5,38778
648,Other,No bachelors,12,57156
649,Israel,No bachelors,8,133080
650,United States of America,No bachelors,9,150000
651,United States of America,Bachelors,1,70000
652,United States of America,Bachelors,10,130000
653,France,No bachelors,7,52968
654,Other,No bachelors,21,77832
655,India,Bachelors,9,25128
656,Germany,No bachelors,7,85397
657,United States of America,Post-grad,2,123000
658,Germany,No bachelors,10,97288
659,United States of America,No bachelors,7,110000
660,Canada,No bachelors,10,90758
661,Germany,No bachelors,12,69183
662,Spain,Bachelors,7,32429
663,United States of America,Bachelors,9,240000
664,United States of America,Bachelors,31,82000
665,United States of America,Bachelors,5,76000
666,United States of America,Bachelors,42,70000
667,Poland,No bachelors,9,28860
668,India,Bachelors,1,25131
669,Russia,No bachelors,6,28308
670,Other,No bachelors,16,77832
671,United Kingdom,No bachelors,7,55582
672,United Kingdom,No bachelors,2,31020
673,Russia,No bachelors,11,43404
674,United States of America,Bachelors,13,97000
675,Italy,No bachelors,3,25944
676,Poland,No bachelors,7,15192
677,India,No bachelors,10,25131
678,Germany,Bachelors,20,75669
679,Spain,Bachelors,3,30267
680,France,No bachelors,4,41077
681,Brazil,No bachelors,6,26796
682,Canada,No bachelors,6,96808
683,Switzerland,No bachelors,4,67092
684,United States of America,Bachelors,4,76000
685,Australia,Bachelors,1,40086
686,United States of America,Bachelors,34,112000
687,Other,No bachelors,10,30000
688,United States of America,Bachelors,28,170000
689,Other,Bachelors,3,26484
690,France,No bachelors,2,37834
691,United States of America,Bachelors,6,60000
692,France,Bachelors,16,25428
693,Netherlands,No bachelors,21,81074
694,Other,Bachelors,5,28248
695,India,Bachelors,4,12230
696,United States of America,Bachelors,8,150000
697,India,Bachelors,8,36300
698,United Kingdom,No bachelors,4,77556
699,Germany,No bachelors,3,40212
700,Italy,No bachelors,22,23352
701,United Kingdom,No bachelors,11,77556
702,Canada,No bachelors,20,56723
703,Canada,No bachelors,5,75631
704,United States of America,No bachelors,5,103000
705,United States of America,No bachelors,6,95000
706,United Kingdom,No bachelors,2,64630
707,Brazil,Bachelors,5,82464
708,Germany,Post-grad,2,108098
709,Canada,No bachelors,5,75631
710,Germany,Bachelors,13,84316
711,Other,No bachelors,2,19452
712,Other,No bachelors,13,110256
713,Netherlands,No bachelors,2,60535
714,India,Bachelors,6,37000
715,Other,No bachelors,4,60000
716,Other,No bachelors,5,79956
717,United States of America,Bachelors,12,160000
718,Italy,No bachelors,3,23782
719,Canada,No bachelors,5,86976
720,Other,Bachelors,5,17100
721,Germany,No bachelors,20,64859
722,India,Bachelors,4,33504
723,Other,No bachelors,6,26513
724,United Kingdom,Bachelors,8,193889
725,Germany,No bachelors,6,67021
726,Other,No bachelors,6,12324
727,United States of America,Bachelors,2,86000
728,United States of America,Post-grad,18,193052
729,France,No bachelors,5,42158
730,Canada,No bachelors,5,60505
731,Other,Bachelors,6,18156
732,United States of America,Bachelors,4,132000
733,Canada,Bachelors,8,73741
734,Germany,Bachelors,8,62697
735,Brazil,No bachelors,11,65976
736,Brazil,Bachelors,2,27492
737,Spain,No bachelors,7,37834
738,United States of America,Bachelors,16,148000
739,United States of America,Bachelors,20,135000
740,United Kingdom,No bachelors,9,51704
741,France,Post-grad,8,43239
742,France,Bachelors,4,24696
743,Other,Bachelors,4,18108
744,United States of America,Bachelors,2,179000
745,Israel,Bachelors,15,157596
746,Netherlands,No bachelors,8,108098
747,Poland,No bachelors,6,45564
748,Other,Bachelors,5,29604
749,Other,Bachelors,13,21144
750,Poland,No bachelors,3,24300
751,Italy,Bachelors,13,54049
752,Netherlands,No bachelors,2,38778
753,United States of America,No bachelors,4,130000
754,United States of America,Bachelors,2,70000
755,Other,No bachelors,6,70264
756,Other,Bachelors,2,13032
757,Italy,No bachelors,10,54049
758,Germany,No bachelors,24,129718
759,India,No bachelors,12,23735
760,Germany,Bachelors,4,62268
761,United Kingdom,Bachelors,10,51704
762,United States of America,Bachelors,13,135000
763,India,Bachelors,2,23735
764,Other,Bachelors,9,37992
765,India,Bachelors,2,18848
766,Other,Bachelors,4,10486
767,Other,Bachelors,4,11520
768,Other,No bachelors,6,81074
769,France,No bachelors,11,99450
770,United States of America,No bachelors,8,72000
771,Other,Bachelors,5,63528
772,Canada,Bachelors,10,56723
773,Germany,No bachelors,5,55776
774,Spain,No bachelors,13,97288
775,Other,Bachelors,6,29302
776,United States of America,Bachelors,9,70000
777,United Kingdom,Bachelors,10,103408
778,United States of America,Bachelors,4,140000
779,Canada,No bachelors,10,50673
780,Australia,No bachelors,0.5,60132
781,Netherlands,Bachelors,9,82155
782,Turkey,Bachelors,1,27612
783,United Kingdom,No bachelors,5,96945
784,Canada,Bachelors,10,121010
785,United Kingdom,No bachelors,8,77556
786,Canada,No bachelors,2,24200
787,Other,No bachelors,4,26436
788,Other,No bachelors,4,42000
789,India,Bachelors,4,27923
790,France,No bachelors,1,45401
791,Netherlands,Bachelors,11,65291
792,Other,Bachelors,10,11544
793,Other,No bachelors,10,72744
794,United States of America,Bachelors,26,204700
795,France,No bachelors,4,45401
796,Sweden,No bachelors,0.5,42960
797,Other,No bachelors,5,37834
798,United States of America,Bachelors,1,61500
799,United Kingdom,No bachelors,11,64630
800,Canada,Bachelors,5,56723
801,Turkey,Bachelors,4,25644
802,United Kingdom,No bachelors,13,155111
803,Spain,Bachelors,11,86478
804,Germany,Post-grad,3,75669
805,United States of America,Bachelors,22,149000
806,United States of America,Bachelors,5,150000
807,Other,No bachelors,6,63252
808,Spain,No bachelors,13,75669
